programa_id,programa,anio_reportado,mes_reportado,estado_del_reporte,periodo_clave,observaciones_generales_del_mes,2,46100,Presencial,Capacitación en saneamiento ambiental,52,28,0,24,"Municipalidades, AALA, AMSCLAE, SALUD, MARN, COCODE, ACH, ONGAWA",,"Socialización de la politica departamental de agua y saneamiento, Sistema de inversion pública en agua y saneamiento, estado y calidad del agua en el lago Atitlán.",52,OK,OK,No,No,Sí,Sí,Sí,No,No,Sí,No,No,No,No,No,No,No,Sí,No,Sí,Sí,Sí,No,No,Sí,Sí
,Fortalecimiento municipal,,Febrero,Final,2026-02,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
