programa_id,programa,anio_reportado,mes_reportado,estado_del_reporte,periodo_clave,observaciones_generales_del_mes,2,46055,San Antonio Palopó,Caracterización de aguas residuales,Planificación,Sí,AALA,,,1,INCOMPLETA
,Fortalecimiento municipal,,Febrero,Final,2026-02,,3,46066,San Andrés Semetabaj,Caracterización de residuos sólidos,Análisis,No,AALA,,Corrección de observaciónes del MARN,0,INCOMPLETA
,Fortalecimiento municipal,,Febrero,Final,2026-02,,4,46066,Santa Lucía Utatlán,Caracterización de residuos sólidos,Análisis,Sí,AALA-AMSCLAE,,Corrección de observaciónes del MARN,1,INCOMPLETA
,Fortalecimiento municipal,,Febrero,Final,2026-02,,5,46069,San Andrés Semetabaj,Caracterización de residuos sólidos,Análisis,No,AALA,,Corrección de observaciónes del MARN,0,INCOMPLETA
,Fortalecimiento municipal,,Febrero,Final,2026-02,,6,46069,Santa Lucía Utatlán,Caracterización de residuos sólidos,Finalizado,Sí,AALA-AMSCLAE,,,1,INCOMPLETA
,Fortalecimiento municipal,,Febrero,Final,2026-02,,7,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,8,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,9,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,10,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,11,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,12,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,13,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,14,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,15,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,16,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,17,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,18,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,19,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,20,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,21,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,22,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,23,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,24,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,25,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,26,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,27,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,28,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,29,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,30,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,31,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,32,,,,,,,,,,
