record_key,programa,anio,mes_num,mes,zona,territorio,tipo_operacion,source_sheet,source_heading_row,source_month_col,mujeres_activas,mujeres_actividades,mujeres_comercializacion,mujeres_comercializacion_no_inscritas,mujeres_inscritas_total,mujeres_nuevas_inscritas,materiales_lideresas_qq,materiales_municipalidad_qq,total_materiales_qq,ingreso_bruto_lideresas,gasto_transporte,pago_coop_lideresas,ingreso_neto_lideresas,ingreso_bruto_municipalidad,pago_coop_municipalidad,ingreso_neto_municipalidad,ingreso_bruto_total,ingreso_neto_total_territorio,ingreso_neto_cooperativa,horas_trabajadas_lideresas,ingreso_diario_lideresa,pet_qq,vidrio_cerveza_gronn_unid,vidrio_vino_gronn_unid,vidrio_cerveza_surusic_unid,vidrio_vino_surusic_unid,vidrio_peso_qq,vidrio_total_qq,ingreso_pet,ingreso_vidrio_peso,ingreso_vidrio_gronn,ingreso_vidrio_surusic,has_any_data
ATITLAN_RECICLA|2026|01|Santiago Atitlán,Cooperativa Atitlán Recicla,2026,1,ENE,Zona Sur,Santiago Atitlán,mujeres_y_muni,Datos_Impacto,7,G,9,9,8,0,11,0,156.5,0,156.5,3774.25,480,72,3702.25,0,0,0,3774.25,3702.25,72,395,92.55625,3.5,0,0,0,0,140,140,140,2490,0,0,True
ATITLAN_RECICLA|2026|02|Santiago Atitlán,Cooperativa Atitlán Recicla,2026,2,FEB,Zona Sur,Santiago Atitlán,mujeres_y_muni,Datos_Impacto,7,H,7,7,7,0,11,0,198.45,0,198.45,4350.75,395,60,4290.75,0,0,0,4350.75,4290.75,60,410,122.59285714285713,4.15,0,0,0,0,177,177,163,3156,0,0,True
ATITLAN_RECICLA|2026|03|Santiago Atitlán,Cooperativa Atitlán Recicla,2026,3,MAR,Zona Sur,Santiago Atitlán,mujeres_y_muni,Datos_Impacto,7,I,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|04|Santiago Atitlán,Cooperativa Atitlán Recicla,2026,4,ABR,Zona Sur,Santiago Atitlán,mujeres_y_muni,Datos_Impacto,7,J,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|05|Santiago Atitlán,Cooperativa Atitlán Recicla,2026,5,MAY,Zona Sur,Santiago Atitlán,mujeres_y_muni,Datos_Impacto,7,K,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|06|Santiago Atitlán,Cooperativa Atitlán Recicla,2026,6,JUN,Zona Sur,Santiago Atitlán,mujeres_y_muni,Datos_Impacto,7,L,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|07|Santiago Atitlán,Cooperativa Atitlán Recicla,2026,7,JUL,Zona Sur,Santiago Atitlán,mujeres_y_muni,Datos_Impacto,7,N,,,,,,,,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|08|Santiago Atitlán,Cooperativa Atitlán Recicla,2026,8,AGO,Zona Sur,Santiago Atitlán,mujeres_y_muni,Datos_Impacto,7,O,,,,,,,,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|09|Santiago Atitlán,Cooperativa Atitlán Recicla,2026,9,SEP,Zona Sur,Santiago Atitlán,mujeres_y_muni,Datos_Impacto,7,P,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|10|Santiago Atitlán,Cooperativa Atitlán Recicla,2026,10,OCT,Zona Sur,Santiago Atitlán,mujeres_y_muni,Datos_Impacto,7,Q,,,,,,,,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
