row_number,module_name,fecha,anio,mes_num,mes_nombre,periodo,registro_valido,estado_fila_norm,municipio,proyecto_codigo,proyecto_nombre,tipo_asistencia,linea_enfoque,es_nueva_asistencia,cuenta_indicador_asistencia,sectores,resultado_mes,observaciones
1,asistencias,2026-02-10,2026,2,Febrero,2026-02,True,OK,Sololá,1,Vertedero Picacho,Visita a planta de tratamiento,Gestión integral de residuos y desechos sólidos,True,True,Desechos sólidos,Verificación del cierre de operaciones del vertedero municipal Picacho.,
2,asistencias,2026-02-10,2026,2,Febrero,2026-02,True,OK,Sololá,2,PTRS Coxom,Visita a planta de tratamiento,Gestión integral de residuos y desechos sólidos,True,True,Desechos sólidos,Diagnostico de operacion actual y planificación de nuevo relleno sanitario,
3,asistencias,2026-02-11,2026,2,Febrero,2026-02,True,OK,San Antonio Palopó,3,PTRS San Antonio Palopó,Visita a planta de tratamiento,Gestión integral de residuos y desechos sólidos,True,True,Desechos sólidos,Diagnostico para PIRDS,
4,asistencias,2026-02-19,2026,2,Febrero,2026-02,True,OK,Santa Catarina Palopó,4,PTAR Santa Catarina Palopó,Visita a planta de tratamiento,Tratamiento de aguas residuales,True,True,Tratamiento de aguas residuales,Diagnostico de funcionamiento con consultor externo para estabilización de operacion.,
5,asistencias,2026-02-23,2026,2,Febrero,2026-02,True,OK,San Antonio Palopó,3,PTRS San Antonio Palopó,Visita a planta de tratamiento,Gestión integral de residuos y desechos sólidos,False,False,Desechos sólidos,Levantamiento de fotogrametría de relleno sanitario,
6,asistencias,2026-02-24,2026,2,Febrero,2026-02,True,OK,Santa Catarina Palopó,4,Simulacro nacional de terremoto,Otro,Otro,True,False,Otro,Llenado de boleta de evaluacion de respuesta de terremoto,
7,asistencias,2026-02-25,2026,2,Febrero,2026-02,True,OK,Panajachel,5,Visita a centro de acopio AR,Visita a planta de tratamiento,Gestión integral de residuos y desechos sólidos,True,True,Desechos sólidos,Acompañamiento técnico a profesionales de USAC para conocer sobre el manejo de reciclables de AR,
8,asistencias,2026-03-06,2026,3,Marzo,2026-03,True,OK,San Juan La Laguna,6,Visita a terreno para centro de transferencia AR,Seguimiento técnico,Gestión integral de residuos y desechos sólidos,True,True,Desechos sólidos,Referencia para elaboración de EIA,
9,asistencias,2026-03-09,2026,3,Marzo,2026-03,True,OK,San Juan La Laguna,6,Visita a PTRS,Seguimiento técnico,Gestión integral de residuos y desechos sólidos,False,False,Desechos sólidos,"diagnostico para recuperación y manejo de PTRS, seguimiento PIRDS, Estudio de caracterizacion de residuos sólidos sector comercial y de mercados.",No nos atendieron por situacion de auditoria municipal
10,asistencias,2026-03-09,2026,3,Marzo,2026-03,True,OK,Santa Catarina Palopó,4,Visita a PTAR Santa Catarina Palopó ,Seguimiento técnico,Tratamiento de aguas residuales,True,True,Tratamiento de aguas residuales,Gestión de fondos para mejora de operacion del sistema de tratamiento.,
11,asistencias,2026-03-11,2026,3,Marzo,2026-03,True,OK,Santa Cruz La Laguna,7,Visita técnica ocular a vertedero ilegal de desechos sólidos,Seguimiento técnico,Gestión integral de residuos y desechos sólidos,True,True,Desechos sólidos,Proceso de denuncia ,
12,asistencias,2026-03-16,2026,3,Marzo,2026-03,True,OK,Panajachel,8,Evento dia del agua,Otro,Saneamiento ambiental,True,True,Alcantarillado | Tratamiento de aguas residuales | Desechos sólidos | Agua potable,Gestión de apoyo de instalaciones y alimentacion don PORTA HOTEL para evento dia del agua dirigido a técnicos munipales y organizacion comunitaria.,
13,asistencias,2026-03-20,2026,3,Marzo,2026-03,True,OK,San Andrés Semetabaj,9,Sistema de captacion y distribucion de agua para consumo humano,Asistencia técnica proyectos de agua y saneamiento,Agua y saneamiento,False,False,Agua potable,"Solicitud y entrega de papeleria para gestion administrativa de insumos y materiales para red de distribucion de agua del caserío Xejuyu 1, San Andrés Semetabaj ante el departamento de saneamiento ambiental de AMSCLAE.",
14,asistencias,2026-03-25,2026,3,Marzo,2026-03,True,OK,Sololá,10,Cierre de 2 vertederos ilegales,Seguimiento técnico,Gestión integral de residuos y desechos sólidos,False,False,Desechos sólidos,"Clasura de 2 vertederos ilegales en; Xajaxac, Los Encuentros y Caserío El Encanto, Pujujil 2, Sololá. recolectados 180 costales de desechos y recuperada un área de 450 metros cuadrados aproximadamente ",
15,asistencias,,,,,NaT,False,,,,,,,False,False,,,
16,asistencias,,,,,NaT,False,,,,,,,False,False,,,
17,asistencias,,,,,NaT,False,,,,,,,False,False,,,
18,asistencias,,,,,NaT,False,,,,,,,False,False,,,
19,asistencias,,,,,NaT,False,,,,,,,False,False,,,
20,asistencias,,,,,NaT,False,,,,,,,False,False,,,
21,asistencias,,,,,NaT,False,,,,,,,False,False,,,
22,asistencias,,,,,NaT,False,,,,,,,False,False,,,
23,asistencias,,,,,NaT,False,,,,,,,False,False,,,
24,asistencias,,,,,NaT,False,,,,,,,False,False,,,
25,asistencias,,,,,NaT,False,,,,,,,False,False,,,
26,asistencias,,,,,NaT,False,,,,,,,False,False,,,
27,asistencias,,,,,NaT,False,,,,,,,False,False,,,
28,asistencias,,,,,NaT,False,,,,,,,False,False,,,
29,asistencias,,,,,NaT,False,,,,,,,False,False,,,
30,asistencias,,,,,NaT,False,,,,,,,False,False,,,
31,asistencias,,,,,NaT,False,,,,,,,False,False,,,
32,asistencias,,,,,NaT,False,,,,,,,False,False,,,
33,asistencias,,,,,NaT,False,,,,,,,False,False,,,
34,asistencias,,,,,NaT,False,,,,,,,False,False,,,
35,asistencias,,,,,NaT,False,,,,,,,False,False,,,
36,asistencias,,,,,NaT,False,,,,,,,False,False,,,
37,asistencias,,,,,NaT,False,,,,,,,False,False,,,
38,asistencias,,,,,NaT,False,,,,,,,False,False,,,
39,asistencias,,,,,NaT,False,,,,,,,False,False,,,
40,asistencias,,,,,NaT,False,,,,,,,False,False,,,
41,asistencias,,,,,NaT,False,,,,,,,False,False,,,
42,asistencias,,,,,NaT,False,,,,,,,False,False,,,
43,asistencias,,,,,NaT,False,,,,,,,False,False,,,
44,asistencias,,,,,NaT,False,,,,,,,False,False,,,
45,asistencias,,,,,NaT,False,,,,,,,False,False,,,
46,asistencias,,,,,NaT,False,,,,,,,False,False,,,
47,asistencias,,,,,NaT,False,,,,,,,False,False,,,
48,asistencias,,,,,NaT,False,,,,,,,False,False,,,
49,asistencias,,,,,NaT,False,,,,,,,False,False,,,
50,asistencias,,,,,NaT,False,,,,,,,False,False,,,
51,asistencias,,,,,NaT,False,,,,,,,False,False,,,
52,asistencias,,,,,NaT,False,,,,,,,False,False,,,
53,asistencias,,,,,NaT,False,,,,,,,False,False,,,
54,asistencias,,,,,NaT,False,,,,,,,False,False,,,
55,asistencias,,,,,NaT,False,,,,,,,False,False,,,
56,asistencias,,,,,NaT,False,,,,,,,False,False,,,
57,asistencias,,,,,NaT,False,,,,,,,False,False,,,
58,asistencias,,,,,NaT,False,,,,,,,False,False,,,
59,asistencias,,,,,NaT,False,,,,,,,False,False,,,
60,asistencias,,,,,NaT,False,,,,,,,False,False,,,
61,asistencias,,,,,NaT,False,,,,,,,False,False,,,
62,asistencias,,,,,NaT,False,,,,,,,False,False,,,
63,asistencias,,,,,NaT,False,,,,,,,False,False,,,
64,asistencias,,,,,NaT,False,,,,,,,False,False,,,
65,asistencias,,,,,NaT,False,,,,,,,False,False,,,
66,asistencias,,,,,NaT,False,,,,,,,False,False,,,
67,asistencias,,,,,NaT,False,,,,,,,False,False,,,
68,asistencias,,,,,NaT,False,,,,,,,False,False,,,
69,asistencias,,,,,NaT,False,,,,,,,False,False,,,
70,asistencias,,,,,NaT,False,,,,,,,False,False,,,
71,asistencias,,,,,NaT,False,,,,,,,False,False,,,
72,asistencias,,,,,NaT,False,,,,,,,False,False,,,
73,asistencias,,,,,NaT,False,,,,,,,False,False,,,
74,asistencias,,,,,NaT,False,,,,,,,False,False,,,
75,asistencias,,,,,NaT,False,,,,,,,False,False,,,
76,asistencias,,,,,NaT,False,,,,,,,False,False,,,
77,asistencias,,,,,NaT,False,,,,,,,False,False,,,
78,asistencias,,,,,NaT,False,,,,,,,False,False,,,
79,asistencias,,,,,NaT,False,,,,,,,False,False,,,
80,asistencias,,,,,NaT,False,,,,,,,False,False,,,
81,asistencias,,,,,NaT,False,,,,,,,False,False,,,
82,asistencias,,,,,NaT,False,,,,,,,False,False,,,
83,asistencias,,,,,NaT,False,,,,,,,False,False,,,
84,asistencias,,,,,NaT,False,,,,,,,False,False,,,
85,asistencias,,,,,NaT,False,,,,,,,False,False,,,
86,asistencias,,,,,NaT,False,,,,,,,False,False,,,
87,asistencias,,,,,NaT,False,,,,,,,False,False,,,
88,asistencias,,,,,NaT,False,,,,,,,False,False,,,
89,asistencias,,,,,NaT,False,,,,,,,False,False,,,
90,asistencias,,,,,NaT,False,,,,,,,False,False,,,
91,asistencias,,,,,NaT,False,,,,,,,False,False,,,
92,asistencias,,,,,NaT,False,,,,,,,False,False,,,
93,asistencias,,,,,NaT,False,,,,,,,False,False,,,
94,asistencias,,,,,NaT,False,,,,,,,False,False,,,
95,asistencias,,,,,NaT,False,,,,,,,False,False,,,
96,asistencias,,,,,NaT,False,,,,,,,False,False,,,
97,asistencias,,,,,NaT,False,,,,,,,False,False,,,
98,asistencias,,,,,NaT,False,,,,,,,False,False,,,
99,asistencias,,,,,NaT,False,,,,,,,False,False,,,
100,asistencias,,,,,NaT,False,,,,,,,False,False,,,
101,asistencias,,,,,NaT,False,,,,,,,False,False,,,
102,asistencias,,,,,NaT,False,,,,,,,False,False,,,
103,asistencias,,,,,NaT,False,,,,,,,False,False,,,
104,asistencias,,,,,NaT,False,,,,,,,False,False,,,
105,asistencias,,,,,NaT,False,,,,,,,False,False,,,
106,asistencias,,,,,NaT,False,,,,,,,False,False,,,
107,asistencias,,,,,NaT,False,,,,,,,False,False,,,
108,asistencias,,,,,NaT,False,,,,,,,False,False,,,
109,asistencias,,,,,NaT,False,,,,,,,False,False,,,
