row_number,module_name,fecha,anio,mes_num,mes_nombre,periodo,registro_valido,estado_fila_norm,row_alert_municipio_missing,row_alert_estado_incompleto,modalidad,tipo_actividad,participantes_totales,n_tecnicos,n_operarios,n_otro_personal,instituciones_participantes,observaciones,municipios,temas,temas_nucleo,has_core_theme
1,capacitaciones,2026-01-25,2026,1,Enero,2026-01,True,INCOMPLETA,True,True,Presencial,Capacitación en SIG,5.0,5.0,0.0,0.0,EPC-AALA,Equipo técnico EPC sobre módulos del material didactico.,,SIG · Sistemas de Información Geográfica | Cumplimiento legal ambiental y saneamiento | Saneamiento ambiental,SIG · Sistemas de Información Geográfica | Cumplimiento legal ambiental y saneamiento,True
2,capacitaciones,2026-01-01,2026,1,Enero,2026-01,True,INCOMPLETA,True,True,Presencial,Capacitación en cumplimiento legal ambiental,13.0,13.0,0.0,0.0,MUNICIPALIDADES,"PIRDES, ACUERDO 164 PLANES INTEGRALES",,Cumplimiento legal ambiental y saneamiento,Cumplimiento legal ambiental y saneamiento,True
3,capacitaciones,,,,,,False,INCOMPLETA,False,True,,Capacitación en cumplimiento legal ambiental,4.0,,,,,,,Cumplimiento legal ambiental y saneamiento,Cumplimiento legal ambiental y saneamiento,True
4,capacitaciones,,,,,,False,INCOMPLETA,False,True,,Capacitación en cumplimiento legal ambiental,5.0,,,,,,,Cumplimiento legal ambiental y saneamiento,Cumplimiento legal ambiental y saneamiento,True
5,capacitaciones,,,,,,False,INCOMPLETA,False,True,,Capacitación en cumplimiento legal ambiental,6.0,,,,,,,Cumplimiento legal ambiental y saneamiento,Cumplimiento legal ambiental y saneamiento,True
6,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
7,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
8,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
9,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
10,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
11,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
12,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
13,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
14,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
15,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
16,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
17,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
18,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
19,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
20,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
21,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
22,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
23,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
24,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
25,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
26,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
27,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
28,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
29,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
30,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
