row_number,module_name,fecha,anio,mes_num,mes_nombre,periodo,registro_valido,estado_fila_norm,row_alert_estado_incompleto,municipio,estado_pirdes,implementado_mes,participantes_totales,n_tecnicos,n_operarios,requiere_seguimiento,observaciones
1,pirdes,2026-01-26,2026,1,Enero,2026-01,True,OK,False,San Antonio Palopó,Diagnóstico,True,4.0,4.0,0.0,Sí,
2,pirdes,2026-02-04,2026,2,Febrero,2026-02,True,OK,False,Sololá,Diagnóstico,True,3.0,3.0,0.0,Sí,
3,pirdes,2026-02-06,2026,2,Febrero,2026-02,True,OK,False,San Antonio Palopó,Diagnóstico,True,2.0,2.0,0.0,Sí,
4,pirdes,2026-02-09,2026,2,Febrero,2026-02,True,OK,False,Sololá,Revisión técnica,True,3.0,3.0,0.0,Sí,
5,pirdes,2026-02-12,2026,2,Febrero,2026-02,True,OK,False,San Antonio Palopó,Diagnóstico,True,1.0,1.0,0.0,Sí,
6,pirdes,2026-02-17,2026,2,Febrero,2026-02,True,OK,False,Sololá,Revisión técnica,True,3.0,3.0,0.0,Sí,
7,pirdes,2026-02-19,2026,2,Febrero,2026-02,True,OK,False,San Antonio Palopó,Diagnóstico,True,1.0,1.0,,Sí,
8,pirdes,,,,,,False,,False,,,False,,,,,
9,pirdes,,,,,,False,,False,,,False,,,,,
10,pirdes,,,,,,False,,False,,,False,,,,,
11,pirdes,,,,,,False,,False,,,False,,,,,
12,pirdes,,,,,,False,,False,,,False,,,,,
13,pirdes,,,,,,False,,False,,,False,,,,,
14,pirdes,,,,,,False,,False,,,False,,,,,
15,pirdes,,,,,,False,,False,,,False,,,,,
16,pirdes,,,,,,False,,False,,,False,,,,,
17,pirdes,,,,,,False,,False,,,False,,,,,
18,pirdes,,,,,,False,,False,,,False,,,,,
19,pirdes,,,,,,False,,False,,,False,,,,,
20,pirdes,,,,,,False,,False,,,False,,,,,
21,pirdes,,,,,,False,,False,,,False,,,,,
22,pirdes,,,,,,False,,False,,,False,,,,,
23,pirdes,,,,,,False,,False,,,False,,,,,
24,pirdes,,,,,,False,,False,,,False,,,,,
25,pirdes,,,,,,False,,False,,,False,,,,,
26,pirdes,,,,,,False,,False,,,False,,,,,
27,pirdes,,,,,,False,,False,,,False,,,,,
28,pirdes,,,,,,False,,False,,,False,,,,,
29,pirdes,,,,,,False,,False,,,False,,,,,
30,pirdes,,,,,,False,,False,,,False,,,,,
31,pirdes,,,,,,False,,False,,,False,,,,,
32,pirdes,,,,,,False,,False,,,False,,,,,
33,pirdes,,,,,,False,,False,,,False,,,,,
34,pirdes,,,,,,False,,False,,,False,,,,,
35,pirdes,,,,,,False,,False,,,False,,,,,
36,pirdes,,,,,,False,,False,,,False,,,,,
37,pirdes,,,,,,False,,False,,,False,,,,,
38,pirdes,,,,,,False,,False,,,False,,,,,
39,pirdes,,,,,,False,,False,,,False,,,,,
40,pirdes,,,,,,False,,False,,,False,,,,,
41,pirdes,,,,,,False,,False,,,False,,,,,
42,pirdes,,,,,,False,,False,,,False,,,,,
43,pirdes,,,,,,False,,False,,,False,,,,,
44,pirdes,,,,,,False,,False,,,False,,,,,
45,pirdes,,,,,,False,,False,,,False,,,,,
46,pirdes,,,,,,False,,False,,,False,,,,,
47,pirdes,,,,,,False,,False,,,False,,,,,
48,pirdes,,,,,,False,,False,,,False,,,,,
49,pirdes,,,,,,False,,False,,,False,,,,,
50,pirdes,,,,,,False,,False,,,False,,,,,
51,pirdes,,,,,,False,,False,,,False,,,,,
52,pirdes,,,,,,False,,False,,,False,,,,,
53,pirdes,,,,,,False,,False,,,False,,,,,
54,pirdes,,,,,,False,,False,,,False,,,,,
55,pirdes,,,,,,False,,False,,,False,,,,,
56,pirdes,,,,,,False,,False,,,False,,,,,
57,pirdes,,,,,,False,,False,,,False,,,,,
58,pirdes,,,,,,False,,False,,,False,,,,,
59,pirdes,,,,,,False,,False,,,False,,,,,
60,pirdes,,,,,,False,,False,,,False,,,,,
61,pirdes,,,,,,False,,False,,,False,,,,,
62,pirdes,,,,,,False,,False,,,False,,,,,
63,pirdes,,,,,,False,,False,,,False,,,,,
64,pirdes,,,,,,False,,False,,,False,,,,,
65,pirdes,,,,,,False,,False,,,False,,,,,
66,pirdes,,,,,,False,,False,,,False,,,,,
67,pirdes,,,,,,False,,False,,,False,,,,,
68,pirdes,,,,,,False,,False,,,False,,,,,
69,pirdes,,,,,,False,,False,,,False,,,,,
70,pirdes,,,,,,False,,False,,,False,,,,,
71,pirdes,,,,,,False,,False,,,False,,,,,
72,pirdes,,,,,,False,,False,,,False,,,,,
73,pirdes,,,,,,False,,False,,,False,,,,,
74,pirdes,,,,,,False,,False,,,False,,,,,
75,pirdes,,,,,,False,,False,,,False,,,,,
76,pirdes,,,,,,False,,False,,,False,,,,,
77,pirdes,,,,,,False,,False,,,False,,,,,
78,pirdes,,,,,,False,,False,,,False,,,,,
79,pirdes,,,,,,False,,False,,,False,,,,,
80,pirdes,,,,,,False,,False,,,False,,,,,
81,pirdes,,,,,,False,,False,,,False,,,,,
82,pirdes,,,,,,False,,False,,,False,,,,,
83,pirdes,,,,,,False,,False,,,False,,,,,
84,pirdes,,,,,,False,,False,,,False,,,,,
85,pirdes,,,,,,False,,False,,,False,,,,,
86,pirdes,,,,,,False,,False,,,False,,,,,
87,pirdes,,,,,,False,,False,,,False,,,,,
88,pirdes,,,,,,False,,False,,,False,,,,,
89,pirdes,,,,,,False,,False,,,False,,,,,
90,pirdes,,,,,,False,,False,,,False,,,,,
91,pirdes,,,,,,False,,False,,,False,,,,,
92,pirdes,,,,,,False,,False,,,False,,,,,
93,pirdes,,,,,,False,,False,,,False,,,,,
94,pirdes,,,,,,False,,False,,,False,,,,,
95,pirdes,,,,,,False,,False,,,False,,,,,
96,pirdes,,,,,,False,,False,,,False,,,,,
97,pirdes,,,,,,False,,False,,,False,,,,,
98,pirdes,,,,,,False,,False,,,False,,,,,
99,pirdes,,,,,,False,,False,,,False,,,,,
100,pirdes,,,,,,False,,False,,,False,,,,,
101,pirdes,,,,,,False,,False,,,False,,,,,
102,pirdes,,,,,,False,,False,,,False,,,,,
103,pirdes,,,,,,False,,False,,,False,,,,,
104,pirdes,,,,,,False,,False,,,False,,,,,
105,pirdes,,,,,,False,,False,,,False,,,,,
106,pirdes,,,,,,False,,False,,,False,,,,,
107,pirdes,,,,,,False,,False,,,False,,,,,
108,pirdes,,,,,,False,,False,,,False,,,,,
109,pirdes,,,,,,False,,False,,,False,,,,,
110,pirdes,,,,,,False,,False,,,False,,,,,
111,pirdes,,,,,,False,,False,,,False,,,,,
112,pirdes,,,,,,False,,False,,,False,,,,,
113,pirdes,,,,,,False,,False,,,False,,,,,
114,pirdes,,,,,,False,,False,,,False,,,,,
115,pirdes,,,,,,False,,False,,,False,,,,,
116,pirdes,,,,,,False,,False,,,False,,,,,
117,pirdes,,,,,,False,,False,,,False,,,,,
118,pirdes,,,,,,False,,False,,,False,,,,,
119,pirdes,,,,,,False,,False,,,False,,,,,
120,pirdes,,,,,,False,,False,,,False,,,,,
121,pirdes,,,,,,False,,False,,,False,,,,,
122,pirdes,,,,,,False,,False,,,False,,,,,
123,pirdes,,,,,,False,,False,,,False,,,,,
124,pirdes,,,,,,False,,False,,,False,,,,,
125,pirdes,,,,,,False,,False,,,False,,,,,
126,pirdes,,,,,,False,,False,,,False,,,,,
127,pirdes,,,,,,False,,False,,,False,,,,,
128,pirdes,,,,,,False,,False,,,False,,,,,
129,pirdes,,,,,,False,,False,,,False,,,,,
130,pirdes,,,,,,False,,False,,,False,,,,,
131,pirdes,,,,,,False,,False,,,False,,,,,
132,pirdes,,,,,,False,,False,,,False,,,,,
133,pirdes,,,,,,False,,False,,,False,,,,,
134,pirdes,,,,,,False,,False,,,False,,,,,
135,pirdes,,,,,,False,,False,,,False,,,,,
136,pirdes,,,,,,False,,False,,,False,,,,,
137,pirdes,,,,,,False,,False,,,False,,,,,
138,pirdes,,,,,,False,,False,,,False,,,,,
139,pirdes,,,,,,False,,False,,,False,,,,,
140,pirdes,,,,,,False,,False,,,False,,,,,
141,pirdes,,,,,,False,,False,,,False,,,,,
142,pirdes,,,,,,False,,False,,,False,,,,,
143,pirdes,,,,,,False,,False,,,False,,,,,
144,pirdes,,,,,,False,,False,,,False,,,,,
145,pirdes,,,,,,False,,False,,,False,,,,,
146,pirdes,,,,,,False,,False,,,False,,,,,
147,pirdes,,,,,,False,,False,,,False,,,,,
148,pirdes,,,,,,False,,False,,,False,,,,,
149,pirdes,,,,,,False,,False,,,False,,,,,
150,pirdes,,,,,,False,,False,,,False,,,,,
151,pirdes,,,,,,False,,False,,,False,,,,,
152,pirdes,,,,,,False,,False,,,False,,,,,
153,pirdes,,,,,,False,,False,,,False,,,,,
154,pirdes,,,,,,False,,False,,,False,,,,,
155,pirdes,,,,,,False,,False,,,False,,,,,
156,pirdes,,,,,,False,,False,,,False,,,,,
157,pirdes,,,,,,False,,False,,,False,,,,,
158,pirdes,,,,,,False,,False,,,False,,,,,
159,pirdes,,,,,,False,,False,,,False,,,,,
160,pirdes,,,,,,False,,False,,,False,,,,,
161,pirdes,,,,,,False,,False,,,False,,,,,
162,pirdes,,,,,,False,,False,,,False,,,,,
163,pirdes,,,,,,False,,False,,,False,,,,,
164,pirdes,,,,,,False,,False,,,False,,,,,
165,pirdes,,,,,,False,,False,,,False,,,,,
166,pirdes,,,,,,False,,False,,,False,,,,,
167,pirdes,,,,,,False,,False,,,False,,,,,
168,pirdes,,,,,,False,,False,,,False,,,,,
169,pirdes,,,,,,False,,False,,,False,,,,,
170,pirdes,,,,,,False,,False,,,False,,,,,
171,pirdes,,,,,,False,,False,,,False,,,,,
172,pirdes,,,,,,False,,False,,,False,,,,,
173,pirdes,,,,,,False,,False,,,False,,,,,
174,pirdes,,,,,,False,,False,,,False,,,,,
175,pirdes,,,,,,False,,False,,,False,,,,,
176,pirdes,,,,,,False,,False,,,False,,,,,
177,pirdes,,,,,,False,,False,,,False,,,,,
178,pirdes,,,,,,False,,False,,,False,,,,,
179,pirdes,,,,,,False,,False,,,False,,,,,
180,pirdes,,,,,,False,,False,,,False,,,,,
181,pirdes,,,,,,False,,False,,,False,,,,,
182,pirdes,,,,,,False,,False,,,False,,,,,
183,pirdes,,,,,,False,,False,,,False,,,,,
184,pirdes,,,,,,False,,False,,,False,,,,,
185,pirdes,,,,,,False,,False,,,False,,,,,
186,pirdes,,,,,,False,,False,,,False,,,,,
187,pirdes,,,,,,False,,False,,,False,,,,,
188,pirdes,,,,,,False,,False,,,False,,,,,
189,pirdes,,,,,,False,,False,,,False,,,,,
190,pirdes,,,,,,False,,False,,,False,,,,,
191,pirdes,,,,,,False,,False,,,False,,,,,
192,pirdes,,,,,,False,,False,,,False,,,,,
