record_key,programa,anio,mes,recolector,municipio_origen,zona_codigo,material,cantidad,pagado_unit_gtq,precio_vendido_unit_gtq,gtq_total_pagados,ingreso_total_venta,ingreso_cooperativa,source_sheet,source_row,mes_num
Cooperativa Atitlán Recicla|ENE|LL - Jaibalito|PET transparente|5,atitlan_recicla,2026,ENE,Lideresas,LL - Jaibalito,LL,PET transparente,0.95,40.0,40.0,38.0,38.0,0.0,Compras,5,1
Cooperativa Atitlán Recicla|ENE|LL - Jaibalito|PET celeste|6,atitlan_recicla,2026,ENE,Lideresas,LL - Jaibalito,LL,PET celeste,0.2,20.0,20.0,4.0,4.0,0.0,Compras,6,1
Cooperativa Atitlán Recicla|ENE|LL - Jaibalito|PET verde|7,atitlan_recicla,2026,ENE,Lideresas,LL - Jaibalito,LL,PET verde,0.11,15.0,15.0,1.65,1.65,0.0,Compras,7,1
Cooperativa Atitlán Recicla|ENE|LL - Jaibalito|Chatarra 2da. |8,atitlan_recicla,2026,ENE,Lideresas,LL - Jaibalito,LL,Chatarra 2da.,11.15,20.0,20.0,223.0,223.0,0.0,Compras,8,1
Cooperativa Atitlán Recicla|ENE|LL - Jaibalito|Cartón |9,atitlan_recicla,2026,ENE,Lideresas,LL - Jaibalito,LL,Cartón,0.45,10.0,10.0,4.5,4.5,0.0,Compras,9,1
Cooperativa Atitlán Recicla|ENE|LL - Jaibalito|Quintal vidrio mixto|10,atitlan_recicla,2026,ENE,Lideresas,LL - Jaibalito,LL,Quintal vidrio mixto,3.55,22.0,22.0,78.1,78.1,0.0,Compras,10,1
Cooperativa Atitlán Recicla|ENE|LL - Jaibalito|Quintal vidrio VER|11,atitlan_recicla,2026,ENE,Lideresas,LL - Jaibalito,LL,Quintal vidrio VER,1.4,10.0,10.0,14.0,14.0,0.0,Compras,11,1
Cooperativa Atitlán Recicla|ENE|LL - Santa Cruz la Laguna|PET transparente|12,atitlan_recicla,2026,ENE,Lideresas,LL - Santa Cruz la Laguna,LL,PET transparente,0.7,40.0,40.0,28.0,28.0,0.0,Compras,12,1
Cooperativa Atitlán Recicla|ENE|LL - Santa Cruz la Laguna|PET celeste|13,atitlan_recicla,2026,ENE,Lideresas,LL - Santa Cruz la Laguna,LL,PET celeste,0.16,20.0,20.0,3.2,3.2,0.0,Compras,13,1
Cooperativa Atitlán Recicla|ENE|LL - Santa Cruz la Laguna|PET verde|14,atitlan_recicla,2026,ENE,Lideresas,LL - Santa Cruz la Laguna,LL,PET verde,0.16,15.0,15.0,2.4,2.4,0.0,Compras,14,1
