programa,anio,mes_num,mes,zona_codigo,municipio_origen,material,cantidad,pagado_unit_gtq,precio_vendido_unit_gtq,gtq_total_pagados,ingreso_total_venta,ingreso_cooperativa
atitlan_recicla,2026,1,ENE,K,K - Santa Catarina Palopó,Cartón,1.78,10.0,10.0,17.8,17.8,0.0
atitlan_recicla,2026,1,ENE,K,K - Santa Catarina Palopó,PET celeste,0.45,20.0,20.0,9.0,9.0,0.0
atitlan_recicla,2026,1,ENE,K,K - Santa Catarina Palopó,PET transparente,0.95,40.0,40.0,38.0,38.0,0.0
atitlan_recicla,2026,1,ENE,K,K - Santa Catarina Palopó,Plástico soplado (PEAD),0.38,35.0,35.0,13.3,13.3,0.0
atitlan_recicla,2026,1,ENE,K,K - Santa Catarina Palopó,Quintal vidrio VER,11.0,10.0,10.0,110.0,110.0,0.0
atitlan_recicla,2026,1,ENE,K,K - Santa Catarina Palopó,Quintal vidrio mixto,11.0,22.0,22.0,242.0,242.0,0.0
atitlan_recicla,2026,1,ENE,K,K - Sololá,Aluminio latas,0.48,370.0,400.0,177.6,192.0,14.400000000000006
atitlan_recicla,2026,1,ENE,K,K - Sololá,Cartón,31.35,10.0,10.0,313.5,313.5,0.0
atitlan_recicla,2026,1,ENE,K,K - Sololá,Chatarra 2da.,5.59,20.0,20.0,111.8,111.8,0.0
atitlan_recicla,2026,1,ENE,K,K - Sololá,Galones de aceite,0.47,20.0,20.0,9.399999999999999,9.399999999999999,0.0
atitlan_recicla,2026,1,ENE,K,K - Sololá,PET celeste,1.07,20.0,20.0,21.400000000000002,21.400000000000002,0.0
atitlan_recicla,2026,1,ENE,K,K - Sololá,PET transparente,3.89,40.0,40.0,155.6,155.6,0.0
atitlan_recicla,2026,1,ENE,K,K - Sololá,Papel mixto,10.38,25.0,25.0,259.5,259.5,0.0
atitlan_recicla,2026,1,ENE,K,K - Sololá,Plástico duro (PP),9.79,35.0,35.0,342.65,342.65,0.0
atitlan_recicla,2026,1,ENE,K,K - Sololá,Plástico soplado (PEAD),3.59,35.0,35.0,125.64999999999999,125.64999999999999,0.0
atitlan_recicla,2026,1,ENE,K,K - Sololá,Quintal vidrio VER,9.35,10.0,10.0,93.5,93.5,0.0
atitlan_recicla,2026,1,ENE,K,K - Sololá,Quintal vidrio mixto,60.75,22.0,22.0,1336.5,1336.5,0.0
atitlan_recicla,2026,1,ENE,K,K - Sololá,cartoncillo,24.16,5.0,5.0,120.8,120.8,0.0
atitlan_recicla,2026,1,ENE,LL,LL - Jaibalito,Cartón,0.45,10.0,10.0,4.5,4.5,0.0
atitlan_recicla,2026,1,ENE,LL,LL - Jaibalito,Chatarra 2da.,11.15,20.0,20.0,223.0,223.0,0.0
atitlan_recicla,2026,1,ENE,LL,LL - Jaibalito,PET celeste,0.2,20.0,20.0,4.0,4.0,0.0
