record_key,programa,anio,mes_num,mes,zona,territorio,tipo_operacion,mujeres_activas,mujeres_actividades,mujeres_comercializacion,mujeres_comercializacion_no_inscritas,mujeres_inscritas_total,mujeres_nuevas_inscritas,materiales_lideresas_qq,materiales_municipalidad_qq,total_materiales_qq,ingreso_bruto_lideresas,gasto_transporte,pago_coop_lideresas,ingreso_neto_lideresas,ingreso_bruto_municipalidad,pago_coop_municipalidad,ingreso_neto_municipalidad,ingreso_bruto_total,ingreso_neto_total_territorio,ingreso_neto_cooperativa,horas_trabajadas_lideresas,ingreso_diario_lideresa,pet_qq,vidrio_cerveza_gronn_unid,vidrio_vino_gronn_unid,vidrio_cerveza_surusic_unid,vidrio_vino_surusic_unid,vidrio_peso_qq,vidrio_total_qq,ingreso_pet,ingreso_vidrio_peso,ingreso_vidrio_gronn,ingreso_vidrio_surusic
ATITLAN_RECICLA|2026|01|San Andrés Semetabaj,atitlan_recicla,2026,1,ENE,Kaqchiquel,San Andrés Semetabaj,mujeres,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATITLAN_RECICLA|2026|01|San Antonio Palopó,atitlan_recicla,2026,1,ENE,Kaqchiquel,San Antonio Palopó,mujeres,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATITLAN_RECICLA|2026|01|Santa Catarina Palopó,atitlan_recicla,2026,1,ENE,Kaqchiquel,Santa Catarina Palopó,mujeres,4.0,2.0,1.0,0.0,4.0,0.0,25.56,0.0,25.56,430.1,0.0,0.0,430.1,0.0,0.0,0.0,430.1,430.1,0.0,53.0,86.02000000000001,1.4,0.0,0.0,0.0,0.0,22.0,22.0,47.0,352.0,0.0,0.0
ATITLAN_RECICLA|2026|01|Sololá,atitlan_recicla,2026,1,ENE,Kaqchiquel,Sololá,mujeres_y_muni,6.0,5.0,2.0,0.0,6.0,0.0,160.87,0.0,160.87,3082.3,0.0,14.4,3067.9,0.0,0.0,0.0,3082.3,3067.9,14.4,294.0,306.79,4.96,0.0,0.0,0.0,0.0,70.1,70.1,177.0,1430.0,0.0,0.0
ATITLAN_RECICLA|2026|01|Jaibalito,atitlan_recicla,2026,1,ENE,Las Lagunas,Jaibalito,mujeres,2.0,2.0,2.0,0.0,3.0,0.0,17.81,0.0,17.81,363.25,0.0,0.0,363.25,0.0,0.0,0.0,363.25,363.25,0.0,31.7,36.325,1.26,0.0,0.0,0.0,0.0,4.95,4.95,43.65,92.1,0.0,0.0
ATITLAN_RECICLA|2026|01|San Juan La Laguna,atitlan_recicla,2026,1,ENE,Las Lagunas,San Juan La Laguna,mujeres,3.0,3.0,2.0,0.0,5.0,0.0,78.46,0.0,78.46,1455.12,0.0,0.0,1455.12,0.0,0.0,0.0,1455.12,1455.12,0.0,101.3,145.512,0.56,0.0,0.0,0.0,0.0,48.98,48.98,22.4,1018.07,0.0,0.0
ATITLAN_RECICLA|2026|01|San Marcos La Laguna,atitlan_recicla,2026,1,ENE,Las Lagunas,San Marcos La Laguna,muni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.11,40.11,0.0,0.0,0.0,0.0,897.55,224.0,673.55,897.55,673.55,224.0,0.0,,8.31,0.0,0.0,0.0,0.0,22.9,22.9,175.4,363.9,0.0,0.0
ATITLAN_RECICLA|2026|01|Santa Cruz La Laguna,atitlan_recicla,2026,1,ENE,Las Lagunas,Santa Cruz La Laguna,mujeres,3.0,3.0,3.0,0.0,5.0,0.0,37.3,0.0,37.3,636.21,0.0,0.0,636.21,0.0,0.0,0.0,636.21,636.21,0.0,125.1,42.414,1.02,0.0,0.0,0.0,0.0,30.62,30.62,33.6,536.96,0.0,0.0
ATITLAN_RECICLA|2026|01|Tzununá,atitlan_recicla,2026,1,ENE,Las Lagunas,Tzununá,mujeres,4.0,4.0,4.0,0.0,5.0,0.0,84.49,0.0,84.49,2271.04,0.0,367.8,1903.24,0.0,0.0,0.0,2271.04,1903.24,367.8,150.3,95.162,5.64,454.0,176.0,0.0,0.0,55.52,59.550000000000004,222.5,1159.19,283.5,0.0
ATITLAN_RECICLA|2026|01|Panajachel,atitlan_recicla,2026,1,ENE,Tzolojya,Panajachel,mujeres,11.0,11.0,4.0,0.0,7.0,0.0,950.04,0.0,950.04,19993.56,1750.0,4.8,19988.760000000002,0.0,0.0,0.0,19993.56,19988.760000000002,4.8,475.0,999.4380000000001,68.57,0.0,0.0,0.0,0.0,520.03,520.03,2251.8,11929.36,0.0,
