programa,anio,mes_num,mes,zona,mujeres_activas,mujeres_actividades,mujeres_comercializacion,mujeres_comercializacion_no_inscritas,ingreso_diario_lideresa,mujeres_inscritas_total,mujeres_nuevas_inscritas,materiales_lideresas_qq,materiales_municipalidad_qq,total_materiales_qq,ingreso_bruto_lideresas,gasto_transporte,pago_coop_lideresas,ingreso_neto_lideresas,ingreso_bruto_municipalidad,pago_coop_municipalidad,ingreso_neto_municipalidad,ingreso_bruto_total,ingreso_neto_total_territorio,ingreso_neto_cooperativa,horas_trabajadas_lideresas,pet_qq,vidrio_cerveza_gronn_unid,vidrio_vino_gronn_unid,vidrio_cerveza_surusic_unid,vidrio_vino_surusic_unid,vidrio_peso_qq,vidrio_total_qq,ingreso_pet,ingreso_vidrio_peso,ingreso_vidrio_gronn,ingreso_vidrio_surusic,territorios_reportados
atitlan_recicla,2026,1,ENE,Kaqchiquel,4.25,3.0,0.75,0.0,196.40500000000003,6.0,0.0,186.43,0.0,186.43,3512.4,0.0,14.4,3498.0,0.0,0.0,0.0,3512.4,3498.0,14.4,347.0,6.359999999999999,0.0,0.0,0.0,0.0,92.1,92.1,224.0,1782.0,0.0,0.0,4
atitlan_recicla,2026,1,ENE,Las Lagunas,2.4,2.4,2.2,0.0,79.85325,5.0,0.0,218.06,40.11,258.16999999999996,4725.62,0.0,367.8,4357.82,897.55,224.0,673.55,5623.17,5031.37,591.8,408.4,16.79,454.0,176.0,0.0,0.0,162.97,167.0,497.55,3170.2200000000003,283.5,0.0,5
atitlan_recicla,2026,1,ENE,Tzolojya,4.0,3.75,1.75,0.25,529.426,7.0,0.0,1003.48,29.19,1032.67,21181.84,1750.0,4.8,21177.04,663.53,64.98,598.55,21845.370000000003,21775.590000000004,69.78,519.0,74.19999999999999,0.0,0.0,0.0,0.0,589.81,589.81,2421.8500000000004,13427.44,0.0,0.0,4
atitlan_recicla,2026,1,ENE,Zona Sur,8.0,8.0,7.5,1.0,121.35701388888889,11.0,0.0,416.03,0.0,416.03,10677.75,905.0,218.4,10459.35,0.0,0.0,0.0,10677.75,10459.35,218.4,830.0,43.85,0.0,0.0,0.0,0.0,278.0,278.0,1999.5,4869.0,0.0,0.0,2
atitlan_recicla,2026,2,FEB,Kaqchiquel,4.25,3.0,0.75,0.0,193.02200000000002,6.0,0.0,159.8,0.0,159.8,2912.43,0.0,17.1,2895.33,0.0,0.0,0.0,2912.43,2895.33,17.1,390.0,5.5600000000000005,0.0,0.0,0.0,0.0,72.08,72.08,185.7,1352.48,0.0,0.0,4
atitlan_recicla,2026,2,FEB,Las Lagunas,2.4,2.4,2.4,0.0,65.13620833333334,5.0,0.0,202.45,97.66,300.11,3993.5,0.0,0.0,3993.5,1652.09,303.16,1348.9299999999998,5645.59,5342.43,303.16,350.7,12.209999999999999,0.0,0.0,0.0,0.0,220.97,220.97,347.1,3979.9,0.0,0.0,5
atitlan_recicla,2026,2,FEB,Tzolojya,4.0,1.75,1.75,0.25,259.88,7.0,0.0,641.91,48.82,690.73,12380.75,1300.0,2.75,12378.0,1277.5,135.15,1142.35,13658.25,13520.35,137.9,366.0,38.949999999999996,0.0,0.0,0.0,0.0,371.08,371.08,1217.65,8172.6,0.0,0.0,4
atitlan_recicla,2026,2,FEB,Zona Sur,6.5,6.5,6.0,0.5,152.4005952380952,11.0,0.0,412.45,0.0,412.45,9905.75,880.0,148.75,9757.0,0.0,0.0,0.0,9905.75,9757.0,148.75,875.0,38.4,0.0,0.0,0.0,0.0,314.0,314.0,1703.0,5441.0,0.0,0.0,2
atitlan_recicla,2026,3,MAR,Kaqchiquel,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
atitlan_recicla,2026,3,MAR,Las Lagunas,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
